timestamp,station,wave_height_m,wave_period_s,sea_temp_c
2026-08-26 00:00,Nukualofa Buoy 1,1.2,7.4,27.1
2026-08-26 03:00,Nukualofa Buoy 1,1.3,7.6,27.0
2026-08-26 06:00,Nukualofa Buoy 1,1.1,7.2,26.9
2026-08-26 09:00,Nukualofa Buoy 1,1.4,7.8,27.2
2026-08-26 12:00,Nukualofa Buoy 1,1.6,8.1,27.6
2026-08-26 15:00,Nukualofa Buoy 1,1.8,8.3,27.8
2026-08-26 18:00,Nukualofa Buoy 1,1.5,7.9,27.4
2026-08-26 21:00,Nukualofa Buoy 1,1.3,7.5,27.1
2026-08-27 00:00,Nukualofa Buoy 1,1.2,7.3,27.0
2026-08-27 03:00,Nukualofa Buoy 1,,7.2,26.8
2026-08-27 06:00,Nukualofa Buoy 1,1.1,7.1,26.8
2026-08-27 09:00,Nukualofa Buoy 1,1.5,7.9,27.3
2026-08-27 12:00,Nukualofa Buoy 1,2.1,8.6,27.9
2026-08-27 15:00,Nukualofa Buoy 1,2.4,9.0,28.1
2026-08-27 18:00,Nukualofa Buoy 1,99.9,9.2,28.0
2026-08-27 21:00,Nukualofa Buoy 1,1.7,8.0,27.5
2026-08-28 00:00,Nukualofa Buoy 1,1.4,7.6,27.2
2026-08-28 03:00,Nukualofa Buoy 1,1.3,7.4,27.0
2026-08-28 06:00,Nukualofa Buoy 1,1.2,7.3,26.9
2026-08-28 09:00,Nukualofa Buoy 1,1.4,7.7,27.1
